player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,rank,points,tours
216016,Xiyu,Wang,L,20010328.0,CHN,,Q41799108,71,937,26
216133,Xin Yu,Wang,R,20010926.0,CHN,182.0,Q44465805,35,1383,24
216146,Marta,Kostyuk,R,20020628.0,UKR,175.0,Q28535267,38,1316,22
216262,Clara,Burel,R,20010324.0,FRA,176.0,Q54086890,56,1081,20
216347,Iga,Swiatek,R,20010531.0,POL,176.0,Q26840238,1,9505,19
219875,Varvara,Gracheva,R,20000802.0,FRA,,Q50332038,42,1248,27
219917,Alycia,Parks,R,20001231.0,USA,185.0,Q105745525,84,838,28
220348,Diane,Parry,R,20020901.0,FRA,170.0,Q30082774,76,904,37
220367,Leylah,Fernandez,L,20020906.0,CAN,168.0,Q50329570,34,1385,25
220548,Peyton,Stearns,R,20011008.0,USA,,Q106293259,49,1168,24
220589,Elina,Avanesyan,R,20020917.0,ARM,,Q106312033,74,917,23
220714,Elisabetta,Cocciaretto,R,20010125.0,ITA,,Q48528654,47,1179,21
221012,Qinwen,Zheng,R,20021008.0,CHN,,Q62096129,14,2770,23
221103,Coco,Gauff,R,20040313.0,USA,175.0,Q39263365,3,6690,19
221909,Ashlyn,Krueger,R,20040507.0,USA,185.0,Q105825572,78,896,28
222258,Linda,Fruhvirtova,R,20050501.0,CZE,,Q95568176,88,829,28
222296,Zhuoxuan,Bai,R,20021116.0,CHN,,,90,820,25
222328,Linda,Noskova,R,20041117.0,CZE,,Q106354932,40,1278,22
223670,Diana,Shnaider,L,20040402.0,RUS,,Q107183075,97,785,21
259799,Mirra,Andreeva,R,20070429.0,RUS,,,58,1060,11
